,accuracy,accuracy,accuracy,accuracy_short,accuracy_short,accuracy_short,accuracy_long,accuracy_long,accuracy_long,fuzzy_short_accuracy,fuzzy_short_accuracy,fuzzy_short_accuracy,judge_score_long,judge_score_long,judge_score_long,tokens_in_total,tokens_in_total,tokens_in_total,tokens_out_total,tokens_out_total,tokens_out_total,cost_in_usd,cost_in_usd,cost_in_usd,cost_out_usd,cost_out_usd,cost_out_usd,cost_total_usd,cost_total_usd,cost_total_usd,latency_ms_mean,latency_ms_mean,latency_ms_mean
,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
condition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baseline,0.8431818181818181,0.077591440176178,10,0.6813537415058482,0.1325259866260315,10,1.0,0.0,10,0.7396679505409194,0.13066511147986512,10,0.9434138295037314,0.025805240836092067,10,9705.6,19.03914097035075,10,9051.1,1181.5491196823862,10,0.00582336,1.1423484582210618e-05,10,0.021722639999999998,0.0028357178872377266,10,0.027545999999999998,0.0028406208898760135,10,0.0,0.0,10
capo,0.39090909090909093,0.07710915545454226,10,0.8101653498234465,0.06181866151360134,10,0.007407407407407407,0.023424278964210215,10,0.8648350672007625,0.04289997058465624,10,0.22721803565088194,0.04678247587943348,10,10805.6,724.5613538932058,10,5919.0,3296.765923682716,10,0.006483359999999999,0.00043473681233592354,10,0.014205599999999999,0.007912238216838518,10,0.02068896,0.007565312140024363,10,59540.90924062273,12581.761737549346,10
crop,0.7795454545454545,0.1537897447267007,10,0.6922959773558778,0.14213229451787193,10,0.8893311122216669,0.25139850725491736,10,0.7600779704976082,0.15319036035990843,10,0.6905892451660597,0.1678315809031591,10,12710.8,464.5219286774543,10,4030.6,1463.9481775891752,10,0.00762648,0.0002787131572064726,10,0.00967344,0.00351347562621402,10,0.01729992,0.003573324600984354,10,38332.595218086346,4888.590608267145,10
unified,0.890909090909091,0.0574959574576069,10,0.7809902271242963,0.11253262312556954,10,0.9904761904761905,0.03011693009684171,10,0.8291767190071561,0.10515918191168004,10,0.8170066288968043,0.08769625021118363,10,11588.8,1063.0665077971369,10,3929.5,2153.3194658996194,10,0.006953279999999999,0.0006378399046782818,10,0.0094308,0.0051679667181590856,10,0.01638408,0.00487243532373699,10,120618.30195170455,47776.05129475733,10
