metric,comparison,n_seeds,wilcoxon_statistic,wilcoxon_pvalue,cohens_d,unified_mean,other_mean,ci_high
accuracy,unified vs baseline,10,8.0,0.048828125,0.6989222472437872,0.890909090909091,0.8431818181818184,
accuracy,unified vs capo,10,0.0,0.001953125,7.351507669342867,0.890909090909091,0.3909090909090909,
accuracy,unified vs crop,10,7.0,0.037109375,0.9592284529960834,0.890909090909091,0.7795454545454545,
accuracy,unified (bootstrap CI),10,,,,0.890909090909091,0.859090909090909,0.9227272727272726
fuzzy_short_accuracy,unified (bootstrap CI),10,,,,0.8291767190071558,0.7620639556216621,0.8859747367164796
tokens_in_total,unified (bootstrap CI),10,,,,11588.8,10968.0575,12208.6425
tokens_out_total,unified (bootstrap CI),10,,,,3929.5,2766.5975,5302.794999999999
cost_total_usd,unified (bootstrap CI),10,,,,0.016384079999999947,0.013757053499999951,0.019482050999999955
